,0,1,2
0,0.79956824,1.8574668,0.16136053
1,1.0930171,0.35997206,0.16357535
2,0.9503639,2.5088944,0.1952413
3,1.037127,2.2848954,0.17459598
4,1.0450516,1.687464,0.20012477
5,0.892087,1.8828822,0.17025843
6,0.91933423,3.3813038,0.17579064
7,0.4115188,1.5008461,0.14967373
8,1.0158659,2.024224,0.18394652
9,1.0299667,3.891841,0.16893165
10,0.9377192,1.5473716,0.12588309
11,1.0012844,3.7832112,0.16501935
12,1.0619564,1.7571276,0.14535435
13,1.0069783,6.641667,0.23879604
14,0.9325094,1.702236,0.16775632
15,0.6856743,5.127392,0.19885746
16,1.0892309,1.1944766,0.13183105
17,1.0484545,1.364702,0.14180142
18,0.71613693,3.7450786,0.24015936
19,0.8614646,1.7825894,0.19915468
20,1.0717367,1.4806502,0.17205277
21,0.9419832,2.5501285,0.19300401
22,0.49322498,2.1332254,0.16150431
23,0.64639294,3.7128184,0.16439965
24,1.0012703,3.718472,0.19765902
25,1.0884537,3.0200586,0.16237819
26,0.9494826,2.2210727,0.18509218
27,1.0639061,4.651491,0.1509645
28,1.0311148,1.6508372,0.21464966
29,1.0019643,2.1025074,0.16586314
30,1.0969081,8.185696,0.27915564
31,0.75530946,1.8190427,0.17906307
32,0.45947552,4.9074183,0.17428026
33,1.0902684,0.5645021,0.14993675
34,0.9379494,5.4952645,0.1954963
35,0.892282,6.6986437,0.2461069
36,1.0631981,1.1600806,0.20591408
37,0.90062654,4.8038063,0.19406494
38,0.4863587,9.462675,0.27805462
39,0.684008,4.7040863,0.18000656
40,1.0984572,4.441957,0.19883667
41,1.0105615,3.8151069,0.17486535
42,1.0983295,1.1328324,0.18698469
43,0.9924361,7.597087,0.23647356
44,0.9429295,2.6073637,0.16793738
45,0.9837849,0.81518716,0.15365286
46,1.0718994,2.4529853,0.17430133
47,1.0482026,1.1895174,0.18686724
48,1.0093882,0.38340238,0.17680304
49,1.0942335,0.12103157,0.17640565
50,0.9379705,1.9171672,0.16284108
51,1.0745652,1.8239579,0.17067292
52,1.0145876,1.3228422,0.18441823
53,1.1119187,0.22140118,0.13357703
54,1.0344286,3.657773,0.16534463
