,0,1,2,3
0,-4.6377482,-0.5984937,-0.08081076,-4.6243033
1,-4.675973,-0.80989075,-0.03431941,-4.6315355
2,-4.5283656,-0.67195714,-0.012053393,-4.619647
3,-4.591789,-0.58031285,-0.15898311,-4.709033
4,-4.4990067,-0.6347871,-0.31744137,-4.8859186
5,-4.590216,-0.64752203,-0.025470108,-4.5908475
6,-4.632138,-0.6956108,0.10070743,-4.4743743
7,-4.5404916,-0.5749714,-0.060553055,-4.6232347
8,-4.5031757,-0.5372687,0.051419154,-4.509917
9,-4.6624036,-0.69282186,-0.07833803,-4.5966296
10,-4.478291,-0.5211499,-0.35436532,-4.856705
11,-4.4054723,-0.43888035,-0.3838907,-4.956586
12,-4.703081,-0.73416466,0.029710732,-4.5540533
13,-4.4983635,-0.55110615,-0.024176657,-4.593932
14,-4.561609,-0.68196094,0.0035757497,-4.6439533
15,-4.471956,-0.5339236,-0.115791574,-4.7730756
16,-4.661623,-0.73318946,0.039474282,-4.6371136
17,-4.530358,-0.4836275,-0.17166388,-4.802798
18,-4.609634,-0.59448665,-0.15785787,-4.7360706
19,-4.5575986,-0.6301079,0.022091663,-4.513259
20,-4.744,-0.7148399,-0.07142844,-4.6842856
21,-4.5655947,-0.57354635,-0.07927435,-4.597217
22,-4.5249887,-0.6507181,-0.102590874,-4.687333
23,-4.715591,-0.7322095,-0.24558046,-4.867502
24,-4.654873,-0.68566746,-0.01158423,-4.514529
25,-4.5771337,-0.6448524,-0.15503506,-4.710176
26,-4.5498095,-0.517342,0.03227072,-4.5981784
27,-4.641684,-0.7001749,-0.04668747,-4.631998
28,-4.4523497,-0.5309436,-0.19888522,-4.801745
29,-4.570402,-0.62995535,-0.12916097,-4.7866507
30,-4.631546,-0.70419735,-0.288876,-4.9183893
31,-4.5284257,-0.5464815,0.04617568,-4.58218
32,-4.505559,-0.53496206,-0.1591384,-4.7580185
33,-4.6693363,-0.70114106,0.263753,-4.3784995
34,-4.667138,-0.71825737,-0.1566585,-4.693692
35,-4.3865767,-0.34220713,-0.2965329,-4.8676972
36,-4.681492,-0.77558196,0.1552153,-4.4498706
37,-4.463615,-0.5396964,-0.07671805,-4.602494
38,-4.6302876,-0.62598616,-0.082952805,-4.6581826
39,-4.563574,-0.5621025,-0.16255084,-4.773919
40,-4.5756598,-0.5586399,-0.024414144,-4.56643
41,-4.574249,-0.6236136,0.14593102,-4.5143037
42,-4.538474,-0.6341741,-0.038058646,-4.6011686
43,-4.508998,-0.50388145,0.0035723038,-4.5568304
44,-4.5309515,-0.6155801,-0.09811592,-4.7157464
45,-4.4803057,-0.48594263,-0.20846677,-4.7433076
46,-4.6523643,-0.703794,-0.10897359,-4.76559
47,-4.660577,-0.7403946,0.06371859,-4.532947
48,-4.501991,-0.5400522,-0.09468283,-4.6432843
49,-4.6327085,-0.625585,-0.044050902,-4.6465945
50,-4.350394,-0.29456457,-0.4191522,-4.916836
51,-4.4729495,-0.5662284,0.017619252,-4.5837073
52,-4.5604534,-0.69968164,0.010649808,-4.619363
53,-4.5598693,-0.5798434,-0.25613272,-4.7575994
54,-4.516822,-0.5894444,-0.02047661,-4.5731053
55,-4.6055,-0.6457713,0.115981214,-4.5048666
56,-4.5429616,-0.64204097,-0.05704453,-4.657413
57,-4.414509,-0.47599053,-0.15748885,-4.7862825
58,-4.522561,-0.5403777,-0.12601537,-4.7777047
59,-4.447727,-0.39463905,-0.18902111,-4.7663636
60,-4.7226386,-0.7671009,-0.0016144477,-4.661959
61,-4.3978395,-0.3402658,-0.11856507,-4.733622
62,-4.503636,-0.3861794,-0.24417946,-4.80298
63,-4.4615936,-0.42823404,-0.15743095,-4.770588
64,-4.5462317,-0.545781,-0.14254156,-4.7391453
65,-4.5398393,-0.61528987,-0.05457371,-4.6088386
66,-4.3635893,-0.30647045,-0.34253582,-4.889554
67,-4.3469152,-0.4005853,-0.160245,-4.7204647
68,-4.5953007,-0.6315239,0.112398446,-4.4944835
69,-4.5002537,-0.58695376,-0.05770851,-4.6038227
70,-4.604002,-0.7028267,-0.19504915,-4.7352114
71,-4.687666,-0.80246454,-0.005731672,-4.6101665
72,-4.7976313,-0.88588834,-0.01562335,-4.710282
73,-4.392094,-0.44428173,-0.09972799,-4.6696486
74,-4.4790883,-0.4658721,-0.31247863,-4.9588947
75,-4.674676,-0.84958637,0.11965521,-4.4744787
76,-4.494361,-0.40870667,-0.19384499,-4.784017
77,-4.624064,-0.68906605,0.07254069,-4.515818
78,-4.560924,-0.72399884,-0.033251047,-4.604027
79,-4.559263,-0.67911464,-0.07301866,-4.621297
80,-4.5568438,-0.71383905,0.02952604,-4.610856
81,-4.6160603,-0.5652208,-0.22773685,-4.8265367
82,-4.7183557,-0.6394963,-0.17286965,-4.7770643
83,-4.6046762,-0.58278316,-0.22373407,-4.818722
84,-4.6321964,-0.7301257,-0.03816703,-4.712182
85,-4.4811707,-0.44139177,-0.021321088,-4.6168714
86,-4.5717535,-0.56349725,-0.28539377,-4.9053946
87,-4.664423,-0.7138816,0.12426698,-4.563504
88,-4.6607785,-0.844537,0.05005938,-4.587458
89,-4.5023413,-0.5056833,-0.24504495,-4.8840637
90,-4.5316973,-0.4286553,-0.03301339,-4.619052
91,-4.6194506,-0.623175,-0.021175206,-4.5203342
92,-4.50119,-0.55474675,-0.028772857,-4.572355
93,-4.6473026,-0.68575656,0.16529457,-4.478962
94,-4.490903,-0.41860282,-0.09124813,-4.6725693
95,-4.599288,-0.55197066,-0.013297275,-4.6351023
96,-4.674134,-0.6547386,-0.01303228,-4.6469436
97,-4.6163983,-0.64267933,-0.015897647,-4.644685
98,-4.6470118,-0.72252506,-0.011867933,-4.5467587
99,-4.560295,-0.7186847,-0.19882636,-4.8272862
100,-4.51841,-0.48277104,0.050589666,-4.6113853
101,-4.846462,-0.83513224,0.09807339,-4.4831176
102,-4.6820908,-0.7008439,0.023762159,-4.6293454
103,-4.701434,-0.66337925,0.08973306,-4.5463243
104,-4.6182942,-0.6695689,0.11818077,-4.494498
105,-4.598217,-0.6389595,-0.18434682,-4.7628455
106,-4.5699553,-0.5624318,0.058214657,-4.568881
107,-4.477856,-0.4982199,-0.16845402,-4.7422266
108,-4.571105,-0.691798,-0.32173386,-4.9760466
109,-4.511598,-0.45804286,-0.0827105,-4.6548367
110,-4.609007,-0.7519478,-0.057071712,-4.6087756
111,-4.4576974,-0.33245552,-0.1563708,-4.813096
112,-4.50973,-0.43448672,-0.15402672,-4.7925205
113,-4.5324273,-0.51659125,0.07438153,-4.532988
114,-4.336171,-0.305935,-0.07219136,-4.55985
115,-4.6671343,-0.6765343,-0.14342761,-4.713215
116,-4.462709,-0.5149749,-0.13228935,-4.6957107
117,-4.581746,-0.55139476,-0.21602312,-4.8584957
118,-4.6429157,-0.5382746,-0.2730967,-4.8773713
119,-4.616318,-0.67345953,-0.045483224,-4.5735483
120,-4.533484,-0.5067076,-0.25369543,-4.824443
121,-4.507324,-0.50567293,-0.23137286,-4.793833
122,-4.525913,-0.5367125,-0.27096325,-4.8045354
123,-4.4226995,-0.38288328,-0.07031901,-4.6046386
124,-4.607142,-0.6140427,-0.09599319,-4.725433
125,-4.6083655,-0.60542977,-0.030951012,-4.6431026
126,-4.550653,-0.5944234,-0.084615,-4.682523
127,-4.459137,-0.49084663,-0.044582106,-4.537152
128,-4.561301,-0.6145065,-0.041981302,-4.5775375
129,-4.489704,-0.43335503,-0.21389215,-4.768559
130,-4.512608,-0.53813875,-0.12623909,-4.727218
131,-4.5007625,-0.6631205,-0.15467754,-4.7256513
132,-4.5216813,-0.55842614,-0.18060175,-4.8080544
133,-4.531635,-0.6877316,-0.059340283,-4.731765
134,-4.4113636,-0.38348758,-0.1381686,-4.6318736
135,-4.484968,-0.49127382,-0.19438908,-4.849462
136,-4.53572,-0.52195865,-0.16970812,-4.6567445
137,-4.6172843,-0.6271105,-0.1038456,-4.7479477
138,-4.7624846,-0.81090295,-0.2921546,-4.901631
139,-4.828015,-0.8264643,0.07758228,-4.5424166
140,-4.558035,-0.545996,0.031845927,-4.592207
141,-4.419614,-0.41803232,-0.19619533,-4.7674537
142,-4.404536,-0.4027752,-0.23850416,-4.868202
143,-4.5729938,-0.58665174,-0.08409416,-4.5550833
144,-4.5391765,-0.55568755,-0.19130942,-4.780172
145,-4.716999,-0.6813434,0.028306445,-4.5747523
146,-4.61669,-0.7261491,-0.10748209,-4.6671886
147,-4.516519,-0.5580251,-0.069813654,-4.674854
148,-4.523908,-0.5347237,-0.08834686,-4.6633444
149,-4.3997593,-0.35497755,-0.12794209,-4.5895233
150,-4.6704626,-0.6576288,-0.15472804,-4.761987
151,-4.491246,-0.481757,0.13943648,-4.4739504
152,-4.561685,-0.598284,-0.27838674,-4.867447
153,-4.4209285,-0.42577738,-0.123311326,-4.7083573
154,-4.5243497,-0.5659618,-0.0949476,-4.616173
155,-4.5381093,-0.4467159,-0.30402935,-4.919195
156,-4.6793404,-0.75892603,-0.3371284,-4.9105206
157,-4.6246276,-0.6776257,-0.07281107,-4.6899242
158,-4.6323175,-0.65690446,-0.03525822,-4.6584034
159,-4.5011125,-0.5180752,-0.14460588,-4.6992106
160,-4.451155,-0.49562684,0.022183165,-4.5496325
161,-4.381915,-0.38188142,-0.13557075,-4.6758695
162,-4.534935,-0.5369774,-0.16811761,-4.7519774
163,-4.513264,-0.5591593,-0.15204495,-4.7845345
164,-4.7130675,-0.7922192,0.08731319,-4.529834
165,-4.4854436,-0.45934173,-0.07818055,-4.6609006
166,-4.5671134,-0.56051415,-0.08656606,-4.722862
167,-4.6560197,-0.7392384,-0.10234802,-4.7176967
168,-4.627289,-0.65766853,-0.25403023,-4.762773
169,-4.4131207,-0.5148695,-0.04123006,-4.6356406
170,-4.613619,-0.7207795,0.19435202,-4.386625
171,-4.4842963,-0.38563812,-0.13898239,-4.7123923
172,-4.61693,-0.6508739,-0.24334615,-4.8693957
173,-4.6795096,-0.63121057,0.01743976,-4.5469427
174,-4.704432,-0.7352202,-0.101297066,-4.778622
175,-4.4540577,-0.41905653,-0.2600938,-4.766313
176,-4.4891806,-0.48899722,-0.039751425,-4.638125
177,-4.509442,-0.3762801,-0.22639881,-4.7295327
178,-4.5130544,-0.6453978,0.06823869,-4.5496945
179,-4.531621,-0.5213561,-0.19501102,-4.790931
180,-4.688186,-0.7010593,0.0012546182,-4.577465
181,-4.6659746,-0.6720104,-0.023293085,-4.645826
182,-4.4844084,-0.4948338,-0.0006508678,-4.6421995
183,-4.69486,-0.73622113,-0.15648772,-4.8137603
184,-4.3799224,-0.4680573,-0.17554475,-4.773502
185,-4.5328617,-0.56974804,-0.10864475,-4.619786
186,-4.718411,-0.73400974,-0.16550815,-4.7672133
187,-4.3707523,-0.32474485,-0.2908913,-4.939133
188,-4.6555486,-0.72208476,-0.05750729,-4.6979876
189,-4.634884,-0.66584045,-0.061503924,-4.62472
190,-4.6953335,-0.6084075,-0.07147519,-4.6292825
191,-4.4941473,-0.48017386,-0.30385205,-4.9327893
192,-4.6054115,-0.68300134,0.13092048,-4.4444084
